C-@,set-mark-command
C-a,beginning-of-line
C-b,backward-char
C-c,mode-specific-command-prefix
C-d,delete-char
C-e,end-of-line
C-f,forward-char
C-g,keyboard-quit
C-h,help-command
TAB,indent-for-tab-command
LFD,newline-and-indent
C-k,kill-line
C-l,recenter
RET,newline
C-n,next-line
C-o,open-line
C-p,previous-line
C-q,quoted-insert
C-r,isearch-backward
C-s,isearch-forward
C-t,transpose-chars
C-u,universal-argument
C-v,scroll-up
C-w,kill-region
C-x,Control-X-prefix
C-y,yank
C-z,suspend-emacs
ESC,ESC-prefix
C-],abort-recursive-edit
C-_,undo
SPC .. ~,self-insert-command
DEL,delete-backward-char
C-h v,describe-variable
C-h w,where-is
C-h t,help-with-tutorial
C-h s,describe-syntax
C-h n,view-emacs-news
C-h C-n,view-emacs-news
C-h m,describe-mode
C-h l,view-lossage
C-h i,info
C-h f,describe-function
C-h d,describe-function
C-h k,describe-key
C-h c,describe-key-briefly
C-h b,describe-bindings
C-h a,command-apropos
C-h C-w,describe-no-warranty
C-h C-d,describe-distribution
C-h C-c,describe-copying
C-h ?,help-for-help
C-h C-h,help-for-help
C-x C-a,add-mode-abbrev
C-x C-b,list-buffers
C-x C-c,save-buffers-kill-emacs
C-x C-d,list-directory
C-x C-e,eval-last-sexp
C-x C-f,find-file
C-x C-h,inverse-add-mode-abbrev
C-x TAB,indent-rigidly
C-x C-l,downcase-region
C-x C-n,set-goal-column
C-x C-o,delete-blank-lines
C-x C-p,mark-page
C-x C-q,toggle-read-only
C-x C-r,find-file-read-only
C-x C-s,save-buffer
C-x C-t,transpose-lines
C-x C-u,upcase-region
C-x C-v,find-alternate-file
C-x C-w,write-file
C-x C-x,exchange-point-and-mark
C-x C-z,suspend-emacs
C-x ESC,repeat-complex-command
C-x $,set-selective-display
C-x ',expand-abbrev
C-x (,start-kbd-macro
C-x ),end-kbd-macro
C-x +,add-global-abbrev
C-x -,inverse-add-global-abbrev
C-x .,set-fill-prefix
C-x /,point-to-register
C-x 0,delete-window
C-x 1,delete-other-windows
C-x 2,split-window-vertically
C-x 4,ctl-x-4-prefix
C-x 5,split-window-horizontally
C-x ;,set-comment-column
C-x <,scroll-left
C-x =,what-cursor-position
C-x >,scroll-right
C-x [,backward-page
C-x ],forward-page
C-x ^,enlarge-window
C-x `,next-error
C-x a,append-to-buffer
C-x b,switch-to-buffer
C-x d,dired
C-x e,call-last-kbd-macro
C-x f,set-fill-column
C-x g,insert-register
C-x h,mark-whole-buffer
C-x i,insert-file
C-x j,register-to-point
C-x k,kill-buffer
C-x l,count-lines-page
C-x m,mail
C-x n,narrow-to-region
C-x o,other-window
C-x p,narrow-to-page
C-x q,kbd-macro-query
C-x r,copy-rectangle-to-register
C-x s,save-some-buffers
C-x u,advertised-undo
C-x w,widen
C-x x,copy-to-register
C-x {,shrink-window-horizontally
C-x },enlarge-window-horizontally
C-x DEL,backward-kill-sentence
C-x 4 C-f,find-file-other-window
C-x 4 .,find-tag-other-window
C-x 4 a,add-change-log-entry-other-window
C-x 4 b,switch-to-buffer-other-window
C-x 4 d,dired-other-window
C-x 4 f,find-file-other-window
C-x 4 m,mail-other-window
